id,title,registrationNum,isDel
1,面向Github的缺陷修复者推荐系统,软著登字第2996720号,0
2,网易新闻评论信息采集及观点提取系统V1.0,软著登字第3005479号,0
3,豆瓣网电影信息数据采集及分析系统V1.0,软著登字第3018520号,0
4,面向知乎网的问答者推荐系统V1.0,软著登字第3018512号,0
5,基于特征分析的恶意Android应用检测系统V1.0,软著登字第3115999号,0
6,新闻采集及事件提取系统,2019SR960946,0
7,商品评论信息采集及分析系统,2019SR0035993,0
8,基于函数调用路径关联分析规则挖掘的缺陷检测系统V1.0,2019SR0621424,0
9,新浪网新闻评论观点挖掘系统,2019SR0646142,0
10,基于模糊测试的SQL注入漏洞检测系统,2019SR0759252,0
11,图像识别程序对抗样本自动生成系统V1.0,2019SR0759480,0
12,频谱和变异相结合的软件错误定位系统,2019SR0759482,0
13,基于深度神经网络的软件缺陷预测系统V1.0,2019SR0759241,0
14,基于DNN的恶意Android应用检测系统V1.0,2019SR0759246,0
15,基于蜕变关系的神经网络测试系统V1.0,2019SR0759484,0
16,基于语句复杂度分析的软件缺陷定位系统,2020SR0969230,0
17,基于形近字的文本对抗样本生成工具系统,2020SR0969333,0
18,基于变异的深度神经网络工具设计与实现系统,2020SR0969396,0
19,遗传算法辅助的符号执行缺陷检测系统,2020SR0970244,0
20,基于知识图谱的虚假新闻检测工具系统,2020SR0970252,0
21,基于符号执行的模糊测试缺陷检测系统,2020SR0970259,0
22,融合频谱和变异的软件缺陷定位工具系统,2020SR0970466,0
23,面向覆盖的深度森林测试系统,2020SR0970655,0
24,基于覆盖的初始种子测试用例集优化选择系统,2020SR0970663,0
25,篮球赛事比分预测工具系统,2020SR0970734,0
26,基于频谱的深度神经网络缺陷定位软件,2021SR0241435,0
27,深度神经网络变异测试软件,2021SR0241436,0
28,基于反向传播的深度神经网络缺陷定位软件,2021SR0245268,0
29,Solidity智能合约缺陷预测软件,2021SR1167912,0
30,区块链智能合约特征提取软件,2021SR1167909,0
31,面向机器翻译软件的蜕变测试软件,2021SR1189271,0
32,基于集成学习的软件缺陷预测软件,2021SR1189254,0
33,高铁延迟预测软件,2021SR1658526,0
34,对抗样本生成软件,2021SR1658525,0
35,基于多粒度插装的模糊测试软件,2021SR1658519,0
36,基于频谱的多策略软件错误定位软件,2021SR1658481,0
37,代码克隆检测软件V1.0,2022SR1108395,0
38,代码坏味检测软件V1.0,2022SR1123177,0
39,基于频谱的软件多缺陷定位软件V1.0,2022SR1125296,0
40,软件错误定位软件V1.0,2022SR1127331,0
41,基于场景变异的自动驾驶系统蜕变测试软件V1.0,2022SR1333911,0
42,映射关系制导的模糊测试软件V1.0,2022SR1543055,0
43,基于组合覆盖的循环代码模糊测试软件V1.0,2022SR1542978,0
44,循环代码片段制导的模糊测试软件V1.0,2022SR1543056,0
45,基于可解释性分析的深度学习系统测试数据生成软件V1.0,2023SR0155884,0
46,基于冗余覆盖信息约简的软件缺陷定位软V1.0,2023SR0748512,0
47,恶意Android应用静态检测软件V1.0,2023SR0748511,0
48,面向持续集成的模糊测试软件V1.0,2023SR0748513,0
49,目标制导的智能合约安全漏洞检测软件V1.0,2023SR0748514,0
50,融合代码静态特征和频谱的软件缺陷定位软件V1.0,2023SR0748515,0
51,基于变异的深度神经网络修复软件V1.0,2023SR0824618,0
52,针对跨合约漏洞的模糊测试软件V1.0,2023SR0824392,0
53,基于可解释性分析的深度神经网络修复软件V1.0,2023SR0824617,0
